id,title,category,price,rating,brand,reviews_count
1,Essence Mascara Lash Princess,beauty,9.99,2.56,Essence,3
2,Eyeshadow Palette with Mirror,beauty,19.99,2.86,Glamour Beauty,3
3,Powder Canister,beauty,14.99,4.64,Velvet Touch,3
4,Red Lipstick,beauty,12.99,4.36,Chic Cosmetics,3
5,Red Nail Polish,beauty,8.99,4.32,Nail Couture,3
6,Calvin Klein CK One,fragrances,49.99,4.37,Calvin Klein,3
7,Chanel Coco Noir Eau De,fragrances,129.99,4.26,Chanel,3
8,Dior J'adore,fragrances,89.99,3.8,Dior,3
9,Dolce Shine Eau de,fragrances,69.99,3.96,Dolce & Gabbana,3
10,Gucci Bloom Eau de,fragrances,79.99,2.74,Gucci,3
